NodeIndex,NodeName,ClusterLabel,IsSensorLocation
0,J04030201020700699052,0,0
1,J04030201020700699053,0,0
2,J04030201020700699055,0,0
3,J04030201020700699056,0,0
4,J04030201020700699057,0,0
5,J04030201020700699058,0,0
6,J04030201020700699059,0,0
7,J04030201020700699060,0,0
8,J04030201020700699061,0,0
9,J04030201020700699062,0,0
10,J04030201020700699063,5,0
11,J04030201020700699093,5,0
12,J04030201020700699094,5,0
13,J04030201020700699095,4,0
14,J04030201020700699096,5,0
15,J04030201020700699097,1,1
16,J04030201020700699098,5,0
17,J04030201020700699099,2,0
18,J04030201020700699101,6,0
19,J04030201020700699102,5,0
20,J04030201020700699103,5,0
21,J04030201020700699104,2,0
22,J04030201020700699105,1,0
23,J04030201020700699106,1,0
24,J04030201020700699107,1,0
25,J04030201020700699111,11,0
26,J04030201020700699112,4,0
27,J04030201020700699113,9,0
28,J04030201020700699114,2,0
29,J04030201020700699115,0,0
30,J04030201020700699116,0,0
31,J04030201020700699117,0,0
32,J04030201020700699118,0,0
33,J04030201020700699119,0,0
34,J04030201020700699120,0,0
35,J04030201020700699121,10,0
36,J04030201020700699122,0,0
37,J04030201020700699123,7,0
38,J04030201020700699126,3,0
39,J04030201020700699127,0,0
40,J04030201020700699128,2,0
41,J04030201020700699129,2,0
42,J04030201020700699130,2,0
43,J04030201020700699131,2,0
44,J04030201020700699132,2,0
45,J04030201020700699133,2,0
46,J04030201020700699134,2,0
47,J04030201020700699135,6,1
48,J04030201020700699136,8,0
49,J04030201020700699137,2,0
50,J04030201020700699138,4,0
51,J04030201020700699141,8,0
52,J04030201020700699142,0,0
53,J04030201020700699143,0,0
54,J04030201020700699144,0,0
55,J04030201020700699145,0,0
56,J04030201020700699146,0,0
57,J04030201020700699147,0,0
58,J04030201020700699148,0,0
59,J04030201020700699149,0,0
60,J04030201020700699150,0,0
61,J04030201020700699152,0,0
62,J04030201020700699153,0,0
63,J04030201020700699154,0,0
64,J04030201020700699156,0,0
65,J04030201020700699162,0,0
66,J04030201020700699164,0,0
67,J04030201020700699165,7,0
68,J04030201020700699166,7,0
69,J04030201020700699167,7,0
70,J04030201020700699168,3,0
71,J04030201020700699169,3,0
72,J04030201020700699170,7,0
73,J04030201020700699171,3,0
74,J04030201020700699172,7,0
75,J04030201020700699173,7,0
76,J04030201020700699174,0,0
77,J04030201020700699175,0,0
78,J04030201020700699176,0,0
79,J04030201020700699177,0,0
80,J04030201020700699179,7,0
81,J04030201020700699180,3,0
82,J04030201020700699182,7,0
83,J04030201020700699183,7,0
84,J04030201020700699184,0,0
85,J04030201020700699185,7,0
86,J04030201020700699187,7,0
87,J04030201020700699189,7,0
88,J04030201020700699194,7,0
89,J04030201020700699285,0,0
90,J04030201020700699286,0,0
91,J04030201020700699287,0,0
92,J04030201020700699289,7,0
93,J04030201020700699290,7,0
94,J04030201020700699295,3,0
95,J04030201020700699296,7,0
96,J04030201020700699297,7,0
97,J04030201020700699298,3,1
98,J04030201020700699299,7,0
99,J04030201020700699300,3,0
100,J04030201020700699301,3,0
101,J04030201020700699303,9,0
102,J04030201020700699304,10,0
103,J04030201020700699305,10,0
104,J04030201020700699320,5,1
105,J04030201020700699321,4,0
106,J04030201020700699323,3,0
107,J04030201020700699324,3,0
108,J04030201020700699325,11,0
109,J04030201020700699327,7,0
110,J04030201020700699328,11,0
111,J04030201020700699329,11,0
112,J04030201020700699330,11,0
113,J04030201020700699331,1,0
114,J04030201020700699332,11,0
115,J04030201020700699333,3,0
116,J04030201020700699334,10,0
117,J04030201020700699337,2,0
118,J04030201020700699338,6,0
119,J04030201020700699339,9,0
120,J04030201020700699340,11,0
121,J04030201020700699341,11,0
122,J04030201020700699342,1,0
123,J04030201020700699343,1,0
124,J04030201020700699344,1,0
125,J04030201020700699345,1,0
126,J04030201020700699346,4,0
127,J04030201020700699347,4,0
128,J04030201020700699348,3,0
129,J04030201020700699349,10,0
130,J04030201020700699350,10,0
131,J04030201020700699351,9,0
132,J04030201020700699352,10,0
133,J04030201020700699353,10,0
134,J04030201020700699354,6,0
135,J04030201020700699355,6,0
136,J04030201020700699356,11,0
137,J04030201020700699357,3,0
138,J04030201020700699358,11,0
139,J04030201020700699359,3,0
140,J04030201020700699360,11,0
141,J04030201020700699361,10,1
142,J04030201020700699362,8,0
143,J04030201020700699363,4,0
144,J04030201020700699368,10,0
145,J04030201020700699369,11,0
146,J04030201020700699370,11,0
147,J04030201020700699371,10,0
148,J04030201020700699372,8,0
149,J04030201020700699373,11,0
150,J04030201020700699374,10,0
151,J04030201020700699375,9,0
152,J04030201020700699376,1,0
153,J04030201020700699377,1,0
154,J04030201020700699378,1,0
155,J04030201020700699381,9,0
156,J04030201020700699382,4,0
157,J04030201020700699384,7,0
158,J04030201020700699385,0,0
159,J04030201020700699386,7,0
160,J04030201020700699387,2,0
161,J04030201020700699388,2,0
162,J04030201020700699389,0,0
163,J04030201020700699450,10,0
164,J04030201020700699451,11,0
165,J04030201020700699452,11,0
166,J04030201020700699453,11,0
167,J04030201020700699454,11,0
168,J04030201020700699455,1,0
169,J04030201020700699456,1,0
170,J04030201020700699457,11,0
171,J04030201020700699458,9,1
172,J04030201020700699533,3,0
173,J04030201020700699592,11,0
174,J04030201020700699593,11,0
175,J04030201020700699594,11,0
176,J04030201020700699595,11,0
177,J04030201020700699596,11,0
178,J04030201020700699597,11,0
179,J04030201020700699598,11,0
180,J04030201020700699599,11,0
181,J04030201020700699600,3,0
182,J04030201020700699601,3,0
183,J04030201020700699602,3,0
184,J04030201020700699603,11,0
185,J04030201020700699604,11,0
186,J04030201020700699605,11,0
187,J04030201020700699606,11,0
188,J04030201020700699607,1,0
189,J04030201020700699610,9,0
190,J04030201020700699611,10,0
191,J04030201020700699616,5,0
192,J04030201020700699620,1,0
193,J04030201020700699621,1,0
194,J04030201020700699629,1,0
195,J04030201020700699630,11,0
196,J04030201020700699632,1,0
197,J04030201020700699633,1,0
198,J04030201020700699635,11,0
199,J04030201020700699636,1,0
200,J04030201020700699637,11,0
201,J04030201020700699638,3,0
202,J04030201020700699639,3,0
203,J04030201020700699640,11,0
204,J04030201020700699641,11,0
205,J04030201020700699642,1,0
206,J04030201020700699643,3,0
207,J04030201020700699644,11,0
208,J04030201020700699645,11,0
209,J04030201020700699646,11,0
210,J04030201020700699647,11,0
211,J04030201020700699648,1,0
212,J04030201020700699649,11,0
213,J04030201020700699650,1,0
214,J04030201020700699654,1,0
215,J04030201020700699655,1,0
216,J04030201020700699721,3,0
217,J04030201020700699722,3,0
218,J04030201020700699723,10,0
219,J04030201020700699724,11,0
220,J04030201020700699726,7,0
221,J04030201020700699727,0,0
222,J04030201020700699728,10,0
223,J04030201020700699729,3,0
224,J04030201020700699730,7,0
225,J04030201020700699731,3,0
226,J04030201020700699732,7,1
227,J04030201020700699733,7,0
228,J04030201020700699734,7,0
229,J04030201020700699736,7,0
230,J04030201020700699737,7,0
231,J04030201020700699738,7,0
232,J04030201020700699739,7,0
233,J04030201020700699781,0,0
234,J04030201020700699782,11,0
235,J04030201020700699783,3,0
236,J04030201020700699792,0,0
237,J04030201020700699793,0,0
238,J04030201020700699794,0,1
239,J04030201020700699795,0,0
240,J04030201020700699797,0,0
241,J04030201020700699798,0,0
242,J04030201020700699800,8,0
243,J04030201020700699801,0,0
244,J04030201020700699802,0,0
245,J04030201020700699823,1,0
246,J04030201020700699824,11,0
247,J04030201020700699825,1,0
248,J04030201020700699826,10,0
249,J04030201020700699829,1,0
250,J04030201020700699830,1,0
251,J04030201020700699831,1,0
252,J04030201020700699832,1,0
253,J04030201020700699833,11,0
254,J04030201020700699834,11,0
255,J04030201020700699835,1,0
256,J04030201020700699836,11,1
257,J04030201020700699837,1,0
258,J04030201020700699838,9,0
259,J04030201020700699839,1,0
260,J04030201020700699840,10,0
261,J04030201020700699841,11,0
262,J04030201020700699842,9,0
263,J04030201020700700374,4,0
264,J04030201020700700375,4,0
265,J04030201020700700376,4,0
266,J04030201020700700377,1,0
267,J04030201020700700380,4,1
268,J04030201020700700381,1,0
269,J04030201020700700382,1,0
270,J04030201020700700383,1,0
271,J04030201020700700384,1,0
272,J04030201020700700385,1,0
273,J04030201020700700387,4,0
274,J04030201020700700388,4,0
275,J04030201020700700389,4,0
276,J04030201020700700390,1,0
277,J04030201020700700391,1,0
278,J04030201020700700420,1,0
279,J04030201020700700421,11,0
280,J04030201020700700422,11,0
281,J04030201020700700423,11,0
282,J04030201020700700424,11,0
283,J04030201020700700425,1,0
284,J04030201020700700426,1,0
285,J04030201020700700428,3,0
286,J04030201020700700498,4,0
287,J04030201020700709690,3,0
288,J04030201020700709691,9,0
289,J04030201020700709692,1,0
290,J04030201020700709693,1,0
291,J04030201020700709694,11,0
292,J04030201020700709695,11,0
293,J04030201020700709696,11,0
294,J04030201020700709697,11,0
295,J04030201020700709698,11,0
296,J04030201020700709699,11,0
297,J04030201020700709700,11,0
298,J04030201020700709712,4,0
299,J04030201020700709713,1,0
300,J04030201020700709714,9,0
301,J04030201020700709715,3,0
302,J04030201020700709716,7,0
303,J04030201020700709717,7,0
304,J04030201020700709718,7,0
305,J04030201020700709719,7,0
306,J04030201020700709720,7,0
307,J04030201020700709761,9,0
308,J04030201020700709788,7,0
309,J04030201020700709792,7,0
310,J04030201020700709796,7,0
311,J04030201020700709797,7,0
312,J04030201020700709800,7,0
313,J04030201020700709803,7,0
314,J04030201020700709807,9,0
315,J04030201020700709810,3,0
316,J04030201020700709813,3,0
317,J04030201020700709814,3,0
318,J04030201020700709815,3,0
319,J04030201020700709816,3,0
320,J04030201020700709817,3,0
321,J04030201020700709826,7,0
322,J04030201020700709829,7,0
323,J04030201020700709832,8,0
324,J04030201020700709835,8,0
325,J04030201020700709836,0,0
326,J04030201020700709839,8,0
327,J04030201020700709840,8,1
328,J04030201020700709841,8,0
329,J04030201020700709842,8,0
330,J04030201020700709843,8,0
331,J04030201020700709854,8,0
332,J04030201020700709855,2,0
333,J04030201020700709856,2,0
334,J04030201020700709857,2,0
335,J04030201020700709858,2,0
336,J04030201020700709859,2,0
337,J04030201020700709860,2,0
338,J04030201020700709861,2,1
339,J04030201020700709862,2,0
340,J04030201021300699181,3,0
341,J04030201021300699186,3,0
342,J04030201021300699188,3,0
343,J04030201021300699190,11,0
344,J04030201021300699191,11,0
345,J04030201021300699192,11,0
346,J04030201021300699720,3,0
347,J04030201021300700951,1,0
348,J04030201021300700952,4,0
349,J04030201021300700953,11,0
350,J04030201021300700954,1,0
351,J04030201021300700955,11,0
352,J04030201110701158340,11,0
353,J04030201110701158368,5,0
354,J04030201110701159361,7,0
355,J04030201110701159363,8,0
356,J04030201990700708665,4,0
357,JJTN-03(tb),6,0
358,JJTNfoulout,1,0
